,V,i,P,Prat,duration,runtime
0,80000.0,0.002,160.0,0.05,60,60
1,85000.0,0.002,170.0,0.053125,60,120
2,90000.0,0.002,180.0,0.05625,60,180
3,95000.0,0.002,190.0,0.059375,60,240
4,100000.0,0.002,200.0,0.0625,60,300
5,105000.0,0.002,210.0,0.065625,60,360
6,110000.0,0.002,220.0,0.06875,60,420
7,115000.0,0.002,230.0,0.071875,60,480
8,120000.0,0.002,240.0,0.075,60,540
9,125000.0,0.002,250.0,0.078125,60,600
10,130000.0,0.002,260.0,0.08125,60,660
11,135000.0,0.002,270.0,0.084375,60,720
12,140000.0,0.002,280.0,0.0875,60,780
13,145000.0,0.002,290.0,0.090625,60,840
14,150000.0,0.002,300.0,0.09375,60,900
15,155000.0,0.002,310.0,0.096875,60,960
16,160000.0,0.002,320.0,0.1,60,1020
17,165000.0,0.002,330.0,0.103125,60,1080
18,170000.0,0.002,340.0,0.10625,60,1140
19,175000.0,0.002,350.0,0.109375,60,1200
20,180000.0,0.002,360.0,0.1125,60,1260
21,185000.0,0.002,370.0,0.115625,60,1320
22,190000.0,0.002,380.0,0.11875,60,1380
23,195000.0,0.002,390.0,0.121875,60,1440
24,200000.0,0.002,400.0,0.125,60,1500
25,205000.0,0.002,410.0,0.128125,60,1560
26,210000.0,0.002,420.0,0.13125,60,1620
27,215000.0,0.002,430.0,0.134375,60,1680
28,220000.0,0.002,440.0,0.1375,60,1740
29,225000.0,0.002,450.0,0.140625,60,1800
30,230000.0,0.002,460.0,0.14375,60,1860
31,235000.0,0.002,470.0,0.146875,60,1920
32,240000.0,0.002,480.0,0.15,60,1980
33,245000.0,0.002,490.0,0.153125,60,2040
34,250000.0,0.002,500.0,0.15625,60,2100
35,255000.0,0.002,510.0,0.159375,60,2160
36,260000.0,0.002,520.0,0.1625,60,2220
37,265000.0,0.002,530.0,0.165625,60,2280
38,270000.0,0.002,540.0,0.16875,60,2340
39,275000.0,0.002,550.0,0.171875,60,2400
40,280000.0,0.002,560.0,0.175,60,2460
41,285000.0,0.002,570.0,0.178125,60,2520
42,290000.0,0.002,580.0,0.18125,60,2580
43,295000.0,0.002,590.0,0.184375,60,2640
44,300000.0,0.002,600.0,0.1875,60,2700
45,305000.0,0.002,610.0,0.190625,60,2760
46,310000.0,0.002,620.0,0.19375,60,2820
47,315000.0,0.002,630.0,0.196875,60,2880
48,320000.0,0.002,640.0,0.2,60,2940
49,320000.0,0.003,960.0,0.3,60,3000
50,320000.0,0.004,1280.0,0.4,60,3060
51,320000.0,0.005,1600.0,0.5,60,3120
52,320000.0,0.006,1920.0,0.6,60,3180
53,320000.0,0.007,2240.0,0.7,60,3240
54,320000.0,0.008,2560.0,0.8,60,3300
55,320000.0,0.009000000000000001,2880.0000000000005,0.9000000000000001,60,3360
56,320000.0,0.01,3200.0,1.0,60,3420
